Date,Open,High,Low,Close,Volume,Adj Close
2016-03-14,161.990005,163.50,161.990005,162.899994,23700,162.899994
2016-03-11,160.910004,164.690002,160.850006,162.770004,34100,162.770004
2016-03-10,161.410004,162.100006,159.100006,161.229996,23100,161.229996
2016-03-09,161.289993,162.00,160.149994,161.110001,20100,161.110001
2016-03-08,160.00,162.089996,159.539993,160.710007,30900,160.710007
2016-03-07,158.220001,160.00,158.220001,159.990005,30400,159.990005
2016-03-04,158.490005,159.100006,156.410004,159.100006,24100,159.100006
2016-03-03,160.779999,160.850006,157.970001,158.229996,26800,158.229996
2016-03-02,160.899994,160.899994,158.080002,160.100006,31300,160.100006
2016-03-01,159.520004,162.50,158.539993,161.210007,25900,161.210007
2016-02-29,158.309998,159.789993,156.720001,158.050003,27800,158.050003
2016-02-26,159.00,159.559998,156.880005,157.490005,22500,157.490005
2016-02-25,155.550003,159.800003,155.550003,159.00,24100,159.00
2016-02-24,153.970001,155.75,152.470001,155.720001,35300,155.720001
2016-02-23,154.809998,156.690002,154.300003,154.460007,32400,154.460007
2016-02-22,154.869995,156.789993,153.220001,154.630005,23000,154.630005
2016-02-19,154.00,155.00,153.589996,153.850006,20000,153.850006
2016-02-18,153.630005,155.00,152.720001,153.559998,25400,153.559998
2016-02-17,152.559998,158.089996,151.809998,153.729996,43100,153.729996
2016-02-16,152.699997,152.699997,151.259995,152.119995,15300,152.119995
2016-02-12,146.649994,152.179993,146.649994,151.350006,26000,151.350006
2016-02-11,146.889999,147.800003,145.009995,145.649994,43400,145.649994
2016-02-10,147.020004,150.300003,146.080002,148.080002,24600,148.080002
2016-02-09,144.009995,145.899994,142.350006,145.550003,49200,145.550003
2016-02-08,143.979996,145.190002,143.910004,144.130005,90700,144.130005
2016-02-05,148.279999,152.770004,144.559998,145.460007,37800,145.460007
2016-02-04,150.100006,150.199997,146.929993,148.419998,102500,148.419998
2016-02-03,152.479996,152.479996,149.699997,150.059998,62100,150.059998
2016-02-02,154.479996,154.479996,149.809998,151.520004,40500,151.520004
2016-02-01,158.740005,159.119995,154.309998,155.190002,29600,155.190002
2016-01-29,151.610001,159.559998,151.539993,159.550003,61900,159.550003
2016-01-28,151.029999,151.990005,149.889999,151.429993,37400,151.429993
2016-01-27,151.600006,152.139999,149.770004,149.880005,27700,149.880005
2016-01-26,150.419998,152.380005,150.00,151.740005,27000,151.740005
2016-01-25,149.649994,150.580002,149.649994,150.029999,45500,150.029999
2016-01-22,150.990005,150.990005,149.490005,150.289993,46000,150.289993
2016-01-21,150.00,151.199997,149.149994,150.130005,38900,150.130005
2016-01-20,149.350006,150.580002,147.940002,149.949997,96000,149.949997
2016-01-19,151.550003,152.320007,149.149994,150.369995,35400,150.369995
2016-01-15,148.880005,151.649994,148.880005,151.529999,60700,151.529999
2016-01-14,150.559998,152.899994,149.770004,151.169998,28400,151.169998
2016-01-13,150.100006,150.929993,149.50,150.240005,43200,150.240005
2016-01-12,151.419998,152.399994,149.710007,150.119995,38000,150.119995
2016-01-11,150.660004,151.380005,149.529999,150.75,31200,150.75
2016-01-08,149.979996,150.75,149.520004,150.070007,54700,150.070007
2016-01-07,149.669998,150.539993,149.419998,149.899994,37600,149.899994
2016-01-06,149.309998,151.360001,149.309998,151.360001,30100,151.360001
2016-01-05,151.399994,151.710007,149.509995,150.210007,26900,150.210007
2016-01-04,149.789993,150.820007,148.050003,150.210007,72900,150.210007
2015-12-31,156.039993,156.039993,149.899994,150.039993,23000,150.039993
2015-12-30,153.279999,154.429993,152.809998,154.080002,13100,154.080002
2015-12-29,151.899994,153.429993,151.199997,153.279999,18700,153.279999
2015-12-28,152.880005,153.399994,150.350006,151.50,24800,151.50
2015-12-24,153.979996,153.979996,152.509995,153.50,11200,153.50
2015-12-23,153.020004,155.550003,152.309998,154.520004,29400,154.520004
2015-12-22,151.00,152.699997,150.00,152.699997,15500,152.699997
2015-12-21,150.119995,151.240005,149.699997,150.770004,21100,150.770004
2015-12-18,149.470001,150.369995,149.470001,149.990005,88500,149.990005
2015-12-17,150.639999,151.289993,149.960007,150.160004,17600,150.160004
2015-12-16,150.899994,151.169998,149.00,150.179993,58800,150.179993
2015-12-15,150.470001,151.00,149.210007,150.289993,30000,150.289993
2015-12-14,149.639999,150.759995,149.639999,150.059998,22100,150.059998
2015-12-11,148.979996,150.50,148.979996,149.820007,46900,149.820007
2015-12-10,150.550003,150.649994,149.309998,149.880005,22500,149.880005
2015-12-09,150.50,151.279999,149.070007,149.75,49600,149.75
2015-12-08,151.25,152.479996,150.660004,150.779999,11200,150.779999
2015-12-07,152.210007,153.50,150.990005,152.100006,14600,152.100006
2015-12-04,151.190002,153.50,151.190002,152.809998,17400,152.809998
2015-12-03,151.820007,153.179993,150.630005,151.899994,16900,151.899994
2015-12-02,153.820007,154.740005,151.940002,151.940002,9500,151.940002
2015-12-01,154.330002,154.889999,153.419998,154.259995,15900,154.259995
2015-11-30,154.350006,155.039993,150.210007,154.110001,26600,154.110001
2015-11-27,150.160004,154.399994,150.160004,154.350006,5900,154.350006
2015-11-25,153.589996,153.589996,149.179993,150.690002,21400,150.690002
2015-11-24,155.210007,155.460007,152.070007,152.990005,29100,152.990005
2015-11-23,156.669998,157.169998,154.059998,156.529999,11700,156.529999
2015-11-20,156.550003,156.550003,155.00,156.339996,12900,156.339996
2015-11-19,156.479996,156.490005,154.229996,155.850006,20000,155.850006
2015-11-18,157.779999,158.039993,154.559998,156.130005,15700,156.130005
2015-11-17,156.75,157.199997,155.00,155.710007,9800,155.710007
2015-11-16,156.509995,156.789993,154.589996,156.729996,11400,156.729996
2015-11-13,154.00,158.179993,153.919998,155.210007,16400,155.210007
2015-11-12,159.029999,159.320007,154.460007,154.710007,16200,154.710007
2015-11-11,158.850006,160.729996,157.940002,160.490005,8400,160.490005
2015-11-10,153.399994,159.639999,153.380005,158.850006,10900,158.850006
2015-11-09,157.850006,160.00,155.75,157.639999,20900,157.639999
2015-11-06,158.690002,160.220001,156.130005,159.00,29700,159.00
2015-11-05,157.119995,159.130005,155.270004,158.919998,19000,158.919998
2015-11-04,156.00,157.809998,153.839996,157.809998,23200,157.809998
2015-11-03,156.130005,157.520004,153.509995,156.059998,22200,156.059998
2015-11-02,156.039993,157.929993,153.860001,156.550003,11300,156.550003
